"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Mount Vernon, OH","34540",2022,245,225,19,1,0,0,0,119,50,39,0,0,245,0,0
"Mount Vernon-Anacortes, WA","34580",2022,365,313,47,4,1,0,0,183,52,33,0,0,124,241,0
"Muncie, IN","34620",2022,359,303,55,1,0,0,0,115,54,38,0,0,308,51,0
"Muscatine, IA","34700",2022,365,235,130,0,0,0,0,89,58,42,0,0,0,363,2
"Muskegon, MI","34740",2022,243,211,25,5,2,0,0,187,58,37,0,0,243,0,0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC","34820",2022,263,247,16,0,0,0,0,93,49,38,0,0,263,0,0
"Naples-Immokalee-Marco Island, FL","34940",2022,347,277,70,0,0,0,0,82,53,40,0,0,115,232,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2022,365,164,197,4,0,0,0,147,68,52,0,2,96,267,0
"New Castle, IN","35220",2022,111,87,24,0,0,0,0,95,55,34,0,0,0,111,0
"New Castle, PA","35260",2022,243,223,18,2,0,0,0,126,48,37,0,0,243,0,0
"New Haven-Milford, CT","35300",2022,365,230,128,7,0,0,0,133,69,44,0,6,172,187,0
"New Orleans-Metairie, LA","35380",2022,365,158,204,3,0,0,0,108,67,52,0,0,86,279,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2022,365,134,220,10,1,0,0,161,80,54,1,19,108,237,0
"Niles-Benton Harbor, MI","35660",2022,232,197,30,4,1,0,0,156,61,39,0,0,232,0,0
"Nogales, AZ","35700",2022,357,220,136,1,0,0,0,138,69,43,0,0,0,328,29
"North Port-Sarasota-Bradenton, FL","35840",2022,363,239,124,0,0,0,0,100,59,45,0,0,118,245,0
"Norwich-New London, CT","35980",2022,365,290,71,4,0,0,0,108,57,39,0,0,159,206,0
"Ocala, FL","36100",2022,363,259,104,0,0,0,0,93,55,44,0,0,128,235,0
"Odessa, TX","36220",2022,360,266,94,0,0,0,0,94,58,37,0,0,0,360,0
"Ogden-Clearfield, UT","36260",2022,365,183,171,11,0,0,0,147,87,50,0,16,241,103,5
"Oklahoma City, OK","36420",2022,365,131,225,9,0,0,0,129,77,54,0,7,139,214,5
"Olympia-Tumwater, WA","36500",2022,348,309,36,1,2,0,0,157,51,28,0,0,130,218,0
"Omaha-Council Bluffs, NE-IA","36540",2022,365,243,121,1,0,0,0,108,61,44,0,0,200,140,25
"Orlando-Kissimmee-Sanford, FL","36740",2022,365,269,96,0,0,0,0,97,58,44,0,0,196,169,0
"Othello, WA","36830",2022,365,327,34,2,2,0,0,162,52,18,0,0,0,365,0
"Owensboro, KY","36980",2022,365,224,140,1,0,0,0,108,62,47,0,1,123,241,0
"Oxford, NC","37080",2022,244,223,20,1,0,0,0,112,50,42,0,0,244,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2022,365,171,183,11,0,0,0,140,80,52,0,1,242,122,0
"Paducah, KY-IL","37140",2022,345,213,128,4,0,0,0,143,65,46,0,14,127,204,0
"Pahrump, NV","37220",2022,358,306,41,6,4,1,0,294,57,22,0,0,0,0,358
"Palatka, FL","37260",2022,323,321,2,0,0,0,0,58,27,16,0,0,0,0,323
"Palm Bay-Melbourne-Titusville, FL","37340",2022,365,288,77,0,0,0,0,80,54,43,0,0,179,186,0
"Panama City, FL","37460",2022,365,218,147,0,0,0,0,99,59,46,0,0,101,264,0
"Parkersburg-Vienna, WV","37620",2022,281,242,38,1,0,0,0,108,52,39,0,0,207,74,0
"Payson, AZ","37740",2022,365,245,102,16,2,0,0,177,84,45,0,0,339,2,24
"Pensacola-Ferry Pass-Brent, FL","37860",2022,365,180,183,2,0,0,0,133,64,51,0,0,91,274,0
"Peoria, IL","37900",2022,319,181,138,0,0,0,0,100,65,48,0,0,102,217,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2022,365,97,262,6,0,0,0,126,77,56,0,3,98,264,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2022,365,21,236,78,19,8,3,689,143,79,0,1,166,69,129
"Pierre, SD","38180",2022,362,352,10,0,0,0,0,63,28,7,0,0,0,362,0
"Pittsburgh, PA","38300",2022,365,101,253,10,1,0,0,151,84,58,0,0,64,301,0
"Pittsfield, MA","38340",2022,365,269,96,0,0,0,0,87,58,42,0,0,176,189,0
"Platteville, WI","38420",2022,359,241,118,0,0,0,0,80,58,39,0,0,0,359,0
"Pocatello, ID","38540",2022,365,270,93,2,0,0,0,140,67,40,0,0,111,165,89
"Ponca City, OK","38620",2022,361,225,136,0,0,0,0,93,59,43,0,0,0,361,0
"Ponce, PR","38660",2022,295,264,31,0,0,0,0,99,51,18,118,0,0,86,91
"Port Angeles, WA","38820",2022,365,272,91,2,0,0,0,124,58,38,0,0,186,179,0
"Port St. Lucie, FL","38940",2022,365,287,77,1,0,0,0,108,54,42,0,0,117,248,0
"Portland-South Portland, ME","38860",2022,362,320,39,3,0,0,0,126,52,37,0,5,287,68,2
"Portland-Vancouver-Hillsboro, OR-WA","38900",2022,365,225,133,3,4,0,0,175,76,41,0,0,168,197,0
"Portsmouth, OH","39020",2022,365,340,25,0,0,0,0,74,46,17,0,0,0,122,243
"Prescott, AZ","39140",2022,365,341,24,0,0,0,0,87,48,40,0,0,365,0,0
"Price, UT","39220",2022,364,321,43,0,0,0,0,74,52,43,0,1,336,27,0
"Prineville, OR","39260",2022,359,288,69,2,0,0,0,128,58,24,0,0,0,359,0
"Providence-Warwick, RI-MA","39300",2022,365,243,117,4,1,0,0,164,64,44,0,2,176,186,1
"Provo-Orem, UT","39340",2022,365,206,154,5,0,0,0,119,74,49,0,7,222,124,12
"Pueblo, CO","39380",2022,349,317,29,3,0,0,0,121,48,21,0,0,0,107,242
"Pullman, WA","39420",2022,365,306,55,0,4,0,0,190,56,24,0,0,0,365,0
"Quincy, IL-MO","39500",2022,237,230,7,0,0,0,0,71,47,39,0,0,237,0,0
"Racine, WI","39540",2022,202,165,34,2,1,0,0,164,67,40,0,0,202,0,0
"Raleigh, NC","39580",2022,365,211,153,1,0,0,0,140,60,48,0,0,145,220,0
"Rapid City, SD","39660",2022,365,199,163,3,0,0,0,130,72,49,0,0,185,72,108
"Reading, PA","39740",2022,365,240,123,2,0,0,0,101,64,44,0,0,150,215,0
"Red Bluff, CA","39780",2022,365,245,117,3,0,0,0,108,74,44,0,0,281,84,0
"Red Wing, MN","39860",2022,220,210,10,0,0,0,0,71,47,38,0,0,220,0,0
"Redding, CA","39820",2022,365,253,106,6,0,0,0,119,71,45,0,0,303,62,0
"Reno, NV","39900",2022,365,180,176,1,4,4,0,259,74,51,0,1,218,140,6
"Richmond, VA","40060",2022,365,210,154,1,0,0,0,112,59,47,0,6,137,222,0
"Riverside-San Bernardino-Ontario, CA","40140",2022,365,9,206,75,61,7,7,1683,179,87,0,5,186,129,45
"Riverton, WY","40180",2022,365,254,111,0,0,0,0,100,61,46,0,0,282,78,5
"Roanoke Rapids, NC","40260",2022,362,284,78,0,0,0,0,71,55,33,0,5,0,357,0
"Roanoke, VA","40220",2022,365,255,110,0,0,0,0,80,58,42,1,1,126,237,0
"Rochester, MN","40340",2022,359,280,78,1,0,0,0,110,58,41,0,0,133,226,0
"Rochester, NY","40380",2022,365,270,93,2,0,0,0,126,58,42,0,0,165,200,0
"Rock Springs, WY","40540",2022,365,285,78,1,1,0,0,157,61,44,0,1,308,7,49
"Rockford, IL","40420",2022,363,237,126,0,0,0,0,97,61,43,0,0,123,240,0
"Rockland, ME","40500",2022,212,206,6,0,0,0,0,80,45,35,0,0,212,0,0
"Rocky Mount, NC","40580",2022,356,312,44,0,0,0,0,93,52,37,0,0,175,181,0
"Rome, GA","40660",2022,356,256,100,0,0,0,0,84,57,37,0,0,0,356,0
"Roseburg, OR","40700",2022,46,21,25,0,0,0,0,69,62,53,0,0,0,46,0
"Roswell, NM","40740",2022,121,108,13,0,0,0,0,64,51,26,0,0,0,121,0
"Ruidoso, NM","40760",2022,109,105,4,0,0,0,0,79,40,16,0,0,0,109,0
"Rutland, VT","40860",2022,365,278,87,0,0,0,0,74,57,39,0,1,146,218,0
"Sacramento--Roseville--Arden-Arcade, CA","40900",2022,365,115,209,32,4,3,2,442,103,61,0,0,213,151,1
"Salem, OH","41400",2022,61,61,0,0,0,0,0,40,23,12,0,0,0,0,61
"Salem, OR","41420",2022,365,254,104,5,2,0,0,168,70,36,0,0,125,240,0
"Salinas, CA","41500",2022,365,299,66,0,0,0,0,80,54,39,0,0,198,144,23
"Salisbury, MD-DE","41540",2022,365,274,91,0,0,0,0,87,58,43,0,0,225,140,0
"Salt Lake City, UT","41620",2022,365,99,238,28,0,0,0,147,98,61,0,18,198,140,9
"San Antonio-New Braunfels, TX","41700",2022,365,111,241,12,0,1,0,214,80,55,0,0,103,261,1
"San Diego-Carlsbad, CA","41740",2022,365,42,297,25,1,0,0,156,97,63,0,1,150,190,24
"San Francisco-Oakland-Hayward, CA","41860",2022,365,143,217,5,0,0,0,129,72,53,0,1,81,283,0
"San Jose-Sunnyvale-Santa Clara, CA","41940",2022,365,183,177,5,0,0,0,119,74,50,0,0,167,197,1
"San Juan-Carolina-Caguas, PR","41980",2022,361,276,85,0,0,0,0,86,62,34,6,17,27,262,49
"San Luis Obispo-Paso Robles-Arroyo Grande, CA","42020",2022,365,117,245,3,0,0,0,115,75,55,0,0,160,203,2
"Sandpoint, ID","41760",2022,364,259,97,5,2,1,0,216,66,35,0,0,0,332,32
"Santa Cruz-Watsonville, CA","42100",2022,365,287,78,0,0,0,0,93,56,35,0,0,180,185,0
"Santa Fe, NM","42140",2022,365,284,81,0,0,0,0,98,61,44,0,0,340,25,0
"Santa Maria-Santa Barbara, CA","42200",2022,365,198,167,0,0,0,0,93,60,48,0,0,138,223,4
"Santa Rosa, CA","42220",2022,365,286,79,0,0,0,0,82,56,36,0,0,194,168,3
"Savannah, GA","42340",2022,335,199,136,0,0,0,0,97,60,46,0,0,84,251,0
"Sayre, PA","42380",2022,303,246,57,0,0,0,0,80,54,40,0,1,158,144,0
"Scottsbluff, NE","42420",2022,339,331,8,0,0,0,0,79,36,16,0,0,0,339,0
"Scranton--Wilkes-Barre--Hazleton, PA","42540",2022,365,253,112,0,0,0,0,74,58,43,2,15,112,236,0
"Seattle-Tacoma-Bellevue, WA","42660",2022,365,178,154,22,7,3,1,362,93,51,0,2,129,234,0
"Sebastian-Vero Beach, FL","42680",2022,357,349,8,0,0,0,0,67,44,33,0,0,357,0,0
"Sebring, FL","42700",2022,349,337,11,1,0,0,0,112,46,33,0,0,349,0,0
"Sevierville, TN","42940",2022,310,262,48,0,0,0,0,93,54,44,0,0,310,0,0
"Sheboygan, WI","43100",2022,203,172,24,6,1,0,0,177,74,40,0,0,203,0,0
"Shelton, WA","43220",2022,365,302,60,3,0,0,0,125,58,23,0,0,0,365,0
"Sheridan, WY","43260",2022,365,270,95,0,0,0,0,90,58,44,0,0,220,143,2
"Show Low, AZ","43320",2022,364,307,57,0,0,0,0,93,58,44,0,0,356,5,3
"Shreveport-Bossier City, LA","43340",2022,365,156,208,1,0,0,0,108,64,52,0,0,71,292,2
"Sierra Vista-Douglas, AZ","43420",2022,365,291,73,1,0,0,0,101,61,44,0,0,331,2,32
"Sioux City, IA-NE-SD","43580",2022,113,91,22,0,0,0,0,76,56,36,0,0,0,113,0
"Sioux Falls, SD","43620",2022,365,300,64,1,0,0,0,105,57,39,0,0,265,79,21
"Somerset, KY","43700",2022,359,259,100,0,0,0,0,82,57,42,0,0,103,256,0
"Somerset, PA","43740",2022,360,351,9,0,0,0,0,90,45,34,0,0,360,0,0
"Sonora, CA","43760",2022,250,237,12,1,0,0,0,108,48,39,0,0,250,0,0
"South Bend-Mishawaka, IN-MI","43780",2022,365,167,192,6,0,0,0,122,73,52,0,1,104,260,0
"Spartanburg, SC","43900",2022,363,206,157,0,0,0,0,87,61,47,0,0,120,243,0
"Spokane-Spokane Valley, WA","44060",2022,365,191,164,7,3,0,0,185,73,49,0,0,125,214,26
"Springfield, IL","44100",2022,362,220,138,4,0,0,0,126,62,45,0,0,107,255,0
"Springfield, MA","44140",2022,365,236,128,1,0,0,0,115,61,45,0,1,157,207,0
"Springfield, MO","44180",2022,365,202,163,0,0,0,0,100,64,49,0,0,119,246,0
"Springfield, OH","44220",2022,338,212,125,1,0,0,0,129,63,46,0,0,107,231,0
"St. Cloud, MN","41060",2022,277,204,73,0,0,0,0,78,58,39,0,0,102,175,0
"St. George, UT","41100",2022,365,288,77,0,0,0,0,97,61,44,0,0,337,28,0
